time(s)	,         LorenzX	,          LorenzY		,          LorenzZ		
0.24	,	[ 8.86 18.26]	,	[ 8.86 18.26  6.85]	,	[ 8.86 18.26  6.85]
0.25	,	[ 9.8  19.95]	,	[ 9.8  19.95  8.28]	,	[ 9.8  19.95  8.28]
0.26	,	[10.82 21.68]	,	[10.82 21.68 10.02]	,	[10.82 21.68 10.02]
0.27	,	[11.9  23.41]	,	[11.9  23.41 12.1 ]	,	[11.9  23.41 12.1 ]
0.28	,	[13.05 25.07]	,	[13.05 25.07 14.56]	,	[13.05 25.07 14.56]
0.29	,	[14.25 26.57]	,	[14.25 26.57 17.44]	,	[14.25 26.57 17.44]
0.3	,	[15.49 27.81]	,	[15.49 27.81 20.77]	,	[15.49 27.81 20.77]
0.31	,	[16.72 28.65]	,	[16.72 28.65 24.52]	,	[16.72 28.65 24.52]
0.32	,	[17.91 28.95]	,	[17.91 28.95 28.65]	,	[17.91 28.95 28.65]
0.33	,	[19.02 28.54]	,	[19.02 28.54 33.07]	,	[19.02 28.54 33.07]
0.34	,	[19.97 27.29]	,	[19.97 27.29 37.62]	,	[19.97 27.29 37.62]
0.35	,	[20.7 25.1]	,	[20.7  25.1  42.07]	,	[20.7  25.1  42.07]
0.36	,	[21.14 21.93]	,	[21.14 21.93 46.14]	,	[21.14 21.93 46.14]
0.37	,	[21.22 17.88]	,	[21.22 17.88 49.55]	,	[21.22 17.88 49.55]
0.38	,	[20.89 13.13]	,	[20.89 13.13 52.02]	,	[20.89 13.13 52.02]
0.39	,	[20.11  7.98]	,	[20.11  7.98 53.37]	,	[20.11  7.98 53.37]
0.4	,	[18.9  2.8]	,	[18.9   2.8  53.56]	,	[18.9   2.8  53.56]
0.41	,	[17.29 -2.06]	,	[17.29 -2.06 52.66]	,	[17.29 -2.06 52.66]
0.42	,	[15.35 -6.3 ]	,	[15.35 -6.3  50.9 ]	,	[15.35 -6.3  50.9 ]
0.43	,	[13.19 -9.75]	,	[13.19 -9.75 48.57]	,	[13.19 -9.75 48.57]
0.44	,	[ 10.89 -12.37]	,	[ 10.89 -12.37  45.99]	,	[ 10.89 -12.37  45.99]
0.45	,	[  8.57 -14.2 ]	,	[  8.57 -14.2   43.42]	,	[  8.57 -14.2   43.42]
0.46	,	[  6.29 -15.38]	,	[  6.29 -15.38  41.04]	,	[  6.29 -15.38  41.04]
0.47	,	[  4.12 -16.05]	,	[  4.12 -16.05  38.98]	,	[  4.12 -16.05  38.98]
0.48	,	[  2.11 -16.34]	,	[  2.11 -16.34  37.28]	,	[  2.11 -16.34  37.28]
0.49	,	[  0.26 -16.37]	,	[  0.26 -16.37  35.94]	,	[  0.26 -16.37  35.94]
0.5	,	[ -1.4  -16.23]	,	[ -1.4  -16.23  34.94]	,	[ -1.4  -16.23  34.94]
0.51	,	[ -2.88 -15.97]	,	[ -2.88 -15.97  34.24]	,	[ -2.88 -15.97  34.24]
0.52	,	[ -4.19 -15.63]	,	[ -4.19 -15.63  33.78]	,	[ -4.19 -15.63  33.78]
0.53	,	[ -5.34 -15.23]	,	[ -5.34 -15.23  33.54]	,	[ -5.34 -15.23  33.54]
0.54	,	[ -6.33 -14.78]	,	[ -6.33 -14.78  33.46]	,	[ -6.33 -14.78  33.46]
0.55	,	[ -7.17 -14.29]	,	[ -7.17 -14.29  33.5 ]	,	[ -7.17 -14.29  33.5 ]
0.56	,	[ -7.88 -13.75]	,	[ -7.88 -13.75  33.63]	,	[ -7.88 -13.75  33.63]
0.57	,	[ -8.47 -13.17]	,	[ -8.47 -13.17  33.82]	,	[ -8.47 -13.17  33.82]
0.58	,	[ -8.94 -12.55]	,	[ -8.94 -12.55  34.03]	,	[ -8.94 -12.55  34.03]
0.59	,	[ -9.3  -11.88]	,	[ -9.3  -11.88  34.25]	,	[ -9.3  -11.88  34.25]
0.6	,	[ -9.56 -11.18]	,	[ -9.56 -11.18  34.44]	,	[ -9.56 -11.18  34.44]
0.61	,	[ -9.72 -10.46]	,	[ -9.72 -10.46  34.59]	,	[ -9.72 -10.46  34.59]
0.62	,	[-9.8  -9.71]	,	[-9.8  -9.71 34.68]	,	[-9.8  -9.71 34.68]
0.63	,	[-9.79 -8.96]	,	[-9.79 -8.96 34.71]	,	[-9.79 -8.96 34.71]
0.64	,	[-9.7  -8.21]	,	[-9.7  -8.21 34.66]	,	[-9.7  -8.21 34.66]
0.65	,	[-9.55 -7.48]	,	[-9.55 -7.48 34.53]	,	[-9.55 -7.48 34.53]
0.66	,	[-9.35 -6.78]	,	[-9.35 -6.78 34.33]	,	[-9.35 -6.78 34.33]
0.67	,	[-9.09 -6.12]	,	[-9.09 -6.12 34.05]	,	[-9.09 -6.12 34.05]
0.68	,	[-8.79 -5.51]	,	[-8.79 -5.51 33.7 ]	,	[-8.79 -5.51 33.7 ]
0.69	,	[-8.47 -4.96]	,	[-8.47 -4.96 33.28]	,	[-8.47 -4.96 33.28]
0.7	,	[-8.12 -4.46]	,	[-8.12 -4.46 32.81]	,	[-8.12 -4.46 32.81]
0.71	,	[-7.75 -4.03]	,	[-7.75 -4.03 32.3 ]	,	[-7.75 -4.03 32.3 ]
0.72	,	[-7.38 -3.65]	,	[-7.38 -3.65 31.75]	,	[-7.38 -3.65 31.75]
0.73	,	[-7.01 -3.34]	,	[-7.01 -3.34 31.17]	,	[-7.01 -3.34 31.17]
0.74	,	[-6.64 -3.08]	,	[-6.64 -3.08 30.58]	,	[-6.64 -3.08 30.58]
0.75	,	[-6.28 -2.88]	,	[-6.28 -2.88 29.97]	,	[-6.28 -2.88 29.97]
0.76	,	[-5.94 -2.73]	,	[-5.94 -2.73 29.35]	,	[-5.94 -2.73 29.35]
0.77	,	[-5.62 -2.62]	,	[-5.62 -2.62 28.73]	,	[-5.62 -2.62 28.73]
0.78	,	[-5.32 -2.55]	,	[-5.32 -2.55 28.11]	,	[-5.32 -2.55 28.11]
0.79	,	[-5.04 -2.52]	,	[-5.04 -2.52 27.5 ]	,	[-5.04 -2.52 27.5 ]
0.8	,	[-4.79 -2.52]	,	[-4.79 -2.52 26.89]	,	[-4.79 -2.52 26.89]
0.81	,	[-4.57 -2.55]	,	[-4.57 -2.55 26.29]	,	[-4.57 -2.55 26.29]
0.82	,	[-4.36 -2.6 ]	,	[-4.36 -2.6  25.71]	,	[-4.36 -2.6  25.71]
0.83	,	[-4.19 -2.68]	,	[-4.19 -2.68 25.14]	,	[-4.19 -2.68 25.14]
0.84	,	[-4.04 -2.77]	,	[-4.04 -2.77 24.58]	,	[-4.04 -2.77 24.58]
0.85	,	[-3.91 -2.88]	,	[-3.91 -2.88 24.03]	,	[-3.91 -2.88 24.03]
0.86	,	[-3.81 -3.01]	,	[-3.81 -3.01 23.51]	,	[-3.81 -3.01 23.51]
0.87	,	[-3.73 -3.15]	,	[-3.73 -3.15 22.99]	,	[-3.73 -3.15 22.99]
0.88	,	[-3.67 -3.3 ]	,	[-3.67 -3.3  22.5 ]	,	[-3.67 -3.3  22.5 ]
0.89	,	[-3.63 -3.47]	,	[-3.63 -3.47 22.02]	,	[-3.63 -3.47 22.02]
0.9	,	[-3.62 -3.65]	,	[-3.62 -3.65 21.56]	,	[-3.62 -3.65 21.56]
0.91	,	[-3.62 -3.85]	,	[-3.62 -3.85 21.12]	,	[-3.62 -3.85 21.12]
0.92	,	[-3.64 -4.06]	,	[-3.64 -4.06 20.69]	,	[-3.64 -4.06 20.69]
0.93	,	[-3.69 -4.29]	,	[-3.69 -4.29 20.29]	,	[-3.69 -4.29 20.29]
0.94	,	[-3.75 -4.53]	,	[-3.75 -4.53 19.91]	,	[-3.75 -4.53 19.91]
0.95	,	[-3.82 -4.79]	,	[-3.82 -4.79 19.54]	,	[-3.82 -4.79 19.54]
0.96	,	[-3.92 -5.06]	,	[-3.92 -5.06 19.21]	,	[-3.92 -5.06 19.21]
0.97	,	[-4.03 -5.36]	,	[-4.03 -5.36 18.89]	,	[-4.03 -5.36 18.89]
0.98	,	[-4.17 -5.67]	,	[-4.17 -5.67 18.6 ]	,	[-4.17 -5.67 18.6 ]
0.99	,	[-4.32 -6.  ]	,	[-4.32 -6.   18.34]	,	[-4.32 -6.   18.34]
1.0	,	[-4.49 -6.36]	,	[-4.49 -6.36 18.11]	,	[-4.49 -6.36 18.11]
1.01	,	[-4.67 -6.74]	,	[-4.67 -6.74 17.92]	,	[-4.67 -6.74 17.92]
1.02	,	[-4.88 -7.14]	,	[-4.88 -7.14 17.75]	,	[-4.88 -7.14 17.75]
1.03	,	[-5.11 -7.57]	,	[-5.11 -7.57 17.63]	,	[-5.11 -7.57 17.63]
1.04	,	[-5.35 -8.03]	,	[-5.35 -8.03 17.55]	,	[-5.35 -8.03 17.55]
1.05	,	[-5.62 -8.51]	,	[-5.62 -8.51 17.51]	,	[-5.62 -8.51 17.51]
1.06	,	[-5.91 -9.01]	,	[-5.91 -9.01 17.52]	,	[-5.91 -9.01 17.52]
1.07	,	[-6.22 -9.54]	,	[-6.22 -9.54 17.58]	,	[-6.22 -9.54 17.58]
1.08	,	[ -6.55 -10.09]	,	[ -6.55 -10.09  17.71]	,	[ -6.55 -10.09  17.71]
1.09	,	[ -6.91 -10.67]	,	[ -6.91 -10.67  17.9 ]	,	[ -6.91 -10.67  17.9 ]
1.1	,	[ -7.28 -11.26]	,	[ -7.28 -11.26  18.16]	,	[ -7.28 -11.26  18.16]
1.11	,	[ -7.68 -11.86]	,	[ -7.68 -11.86  18.49]	,	[ -7.68 -11.86  18.49]
1.12	,	[ -8.1  -12.47]	,	[ -8.1  -12.47  18.91]	,	[ -8.1  -12.47  18.91]
1.13	,	[ -8.54 -13.08]	,	[ -8.54 -13.08  19.42]	,	[ -8.54 -13.08  19.42]
1.14	,	[ -8.99 -13.69]	,	[ -8.99 -13.69  20.02]	,	[ -8.99 -13.69  20.02]
1.15	,	[ -9.46 -14.27]	,	[ -9.46 -14.27  20.71]	,	[ -9.46 -14.27  20.71]
1.16	,	[ -9.94 -14.81]	,	[ -9.94 -14.81  21.51]	,	[ -9.94 -14.81  21.51]
1.17	,	[-10.43 -15.31]	,	[-10.43 -15.31  22.41]	,	[-10.43 -15.31  22.41]
1.18	,	[-10.92 -15.74]	,	[-10.92 -15.74  23.41]	,	[-10.92 -15.74  23.41]
1.19	,	[-11.4  -16.08]	,	[-11.4  -16.08  24.5 ]	,	[-11.4  -16.08  24.5 ]
1.2	,	[-11.87 -16.32]	,	[-11.87 -16.32  25.68]	,	[-11.87 -16.32  25.68]
1.21	,	[-12.31 -16.43]	,	[-12.31 -16.43  26.93]	,	[-12.31 -16.43  26.93]
1.22	,	[-12.72 -16.4 ]	,	[-12.72 -16.4   28.24]	,	[-12.72 -16.4   28.24]
1.23	,	[-13.09 -16.21]	,	[-13.09 -16.21  29.57]	,	[-13.09 -16.21  29.57]
1.24	,	[-13.4  -15.84]	,	[-13.4  -15.84  30.91]	,	[-13.4  -15.84  30.91]
1.25	,	[-13.65 -15.29]	,	[-13.65 -15.29  32.2 ]	,	[-13.65 -15.29  32.2 ]
1.26	,	[-13.81 -14.56]	,	[-13.81 -14.56  33.43]	,	[-13.81 -14.56  33.43]
1.27	,	[-13.89 -13.67]	,	[-13.89 -13.67  34.55]	,	[-13.89 -13.67  34.55]
1.28	,	[-13.87 -12.62]	,	[-13.87 -12.62  35.53]	,	[-13.87 -12.62  35.53]
1.29	,	[-13.74 -11.45]	,	[-13.74 -11.45  36.33]	,	[-13.74 -11.45  36.33]
1.3	,	[-13.51 -10.19]	,	[-13.51 -10.19  36.94]	,	[-13.51 -10.19  36.94]
1.31	,	[-13.18  -8.88]	,	[-13.18  -8.88  37.33]	,	[-13.18  -8.88  37.33]
1.32	,	[-12.75  -7.56]	,	[-12.75  -7.56  37.5 ]	,	[-12.75  -7.56  37.5 ]
1.33	,	[-12.23  -6.28]	,	[-12.23  -6.28  37.47]	,	[-12.23  -6.28  37.47]
1.34	,	[-11.64  -5.06]	,	[-11.64  -5.06  37.24]	,	[-11.64  -5.06  37.24]
1.35	,	[-10.98  -3.93]	,	[-10.98  -3.93  36.83]	,	[-10.98  -3.93  36.83]
1.36	,	[-10.27  -2.92]	,	[-10.27  -2.92  36.28]	,	[-10.27  -2.92  36.28]
1.37	,	[-9.54 -2.04]	,	[-9.54 -2.04 35.61]	,	[-9.54 -2.04 35.61]
1.38	,	[-8.79 -1.29]	,	[-8.79 -1.29 34.86]	,	[-8.79 -1.29 34.86]
1.39	,	[-8.04 -0.68]	,	[-8.04 -0.68 34.04]	,	[-8.04 -0.68 34.04]
1.4	,	[-7.3  -0.19]	,	[-7.3  -0.19 33.19]	,	[-7.3  -0.19 33.19]
1.41	,	[-6.59  0.19]	,	[-6.59  0.19 32.32]	,	[-6.59  0.19 32.32]
1.42	,	[-5.91  0.48]	,	[-5.91  0.48 31.44]	,	[-5.91  0.48 31.44]
1.43	,	[-5.27  0.68]	,	[-5.27  0.68 30.58]	,	[-5.27  0.68 30.58]
1.44	,	[-4.68  0.81]	,	[-4.68  0.81 29.73]	,	[-4.68  0.81 29.73]
1.45	,	[-4.13  0.88]	,	[-4.13  0.88 28.9 ]	,	[-4.13  0.88 28.9 ]
1.46	,	[-3.63  0.91]	,	[-3.63  0.91 28.09]	,	[-3.63  0.91 28.09]
1.47	,	[-3.18  0.9 ]	,	[-3.18  0.9  27.31]	,	[-3.18  0.9  27.31]
1.48	,	[-2.77  0.87]	,	[-2.77  0.87 26.55]	,	[-2.77  0.87 26.55]
1.49	,	[-2.4   0.82]	,	[-2.4   0.82 25.82]	,	[-2.4   0.82 25.82]
1.5	,	[-2.08  0.76]	,	[-2.08  0.76 25.11]	,	[-2.08  0.76 25.11]
1.51	,	[-1.8   0.69]	,	[-1.8   0.69 24.42]	,	[-1.8   0.69 24.42]
1.52	,	[-1.55  0.62]	,	[-1.55  0.62 23.76]	,	[-1.55  0.62 23.76]
1.53	,	[-1.33  0.55]	,	[-1.33  0.55 23.12]	,	[-1.33  0.55 23.12]
1.54	,	[-1.14  0.48]	,	[-1.14  0.48 22.49]	,	[-1.14  0.48 22.49]
1.55	,	[-0.98  0.41]	,	[-0.98  0.41 21.89]	,	[-0.98  0.41 21.89]
1.56	,	[-0.84  0.35]	,	[-0.84  0.35 21.3 ]	,	[-0.84  0.35 21.3 ]
1.57	,	[-0.72  0.29]	,	[-0.72  0.29 20.73]	,	[-0.72  0.29 20.73]
1.58	,	[-0.62  0.23]	,	[-0.62  0.23 20.18]	,	[-0.62  0.23 20.18]
1.59	,	[-0.54  0.18]	,	[-0.54  0.18 19.64]	,	[-0.54  0.18 19.64]
1.6	,	[-0.46  0.13]	,	[-0.46  0.13 19.11]	,	[-0.46  0.13 19.11]
1.61	,	[-0.4   0.09]	,	[-0.4   0.09 18.6 ]	,	[-0.4   0.09 18.6 ]
1.62	,	[-0.36  0.05]	,	[-0.36  0.05 18.1 ]	,	[-0.36  0.05 18.1 ]
1.63	,	[-0.31  0.02]	,	[-0.31  0.02 17.62]	,	[-0.31  0.02 17.62]
1.64	,	[-0.28 -0.02]	,	[-0.28 -0.02 17.15]	,	[-0.28 -0.02 17.15]
1.65	,	[-0.25 -0.05]	,	[-0.25 -0.05 16.69]	,	[-0.25 -0.05 16.69]
1.66	,	[-0.23 -0.07]	,	[-0.23 -0.07 16.25]	,	[-0.23 -0.07 16.25]
1.67	,	[-0.22 -0.1 ]	,	[-0.22 -0.1  15.82]	,	[-0.22 -0.1  15.82]
1.68	,	[-0.21 -0.13]	,	[-0.21 -0.13 15.39]	,	[-0.21 -0.13 15.39]
1.69	,	[-0.2  -0.15]	,	[-0.2  -0.15 14.98]	,	[-0.2  -0.15 14.98]
1.7	,	[-0.19 -0.18]	,	[-0.19 -0.18 14.58]	,	[-0.19 -0.18 14.58]
1.71	,	[-0.19 -0.2 ]	,	[-0.19 -0.2  14.2 ]	,	[-0.19 -0.2  14.2 ]
1.72	,	[-0.19 -0.22]	,	[-0.19 -0.22 13.82]	,	[-0.19 -0.22 13.82]
1.73	,	[-0.2  -0.25]	,	[-0.2  -0.25 13.45]	,	[-0.2  -0.25 13.45]
1.74	,	[-0.2  -0.28]	,	[-0.2  -0.28 13.09]	,	[-0.2  -0.28 13.09]
1.75	,	[-0.21 -0.3 ]	,	[-0.21 -0.3  12.74]	,	[-0.21 -0.3  12.74]
1.76	,	[-0.22 -0.33]	,	[-0.22 -0.33 12.4 ]	,	[-0.22 -0.33 12.4 ]
1.77	,	[-0.23 -0.36]	,	[-0.23 -0.36 12.07]	,	[-0.23 -0.36 12.07]
1.78	,	[-0.24 -0.4 ]	,	[-0.24 -0.4  11.75]	,	[-0.24 -0.4  11.75]
1.79	,	[-0.26 -0.43]	,	[-0.26 -0.43 11.44]	,	[-0.26 -0.43 11.44]
1.8	,	[-0.28 -0.47]	,	[-0.28 -0.47 11.14]	,	[-0.28 -0.47 11.14]
1.81	,	[-0.29 -0.51]	,	[-0.29 -0.51 10.84]	,	[-0.29 -0.51 10.84]
1.82	,	[-0.32 -0.56]	,	[-0.32 -0.56 10.55]	,	[-0.32 -0.56 10.55]
1.83	,	[-0.34 -0.61]	,	[-0.34 -0.61 10.27]	,	[-0.34 -0.61 10.27]
1.84	,	[-0.37 -0.66]	,	[-0.37 -0.66 10.  ]	,	[-0.37 -0.66 10.  ]
1.85	,	[-0.4  -0.72]	,	[-0.4  -0.72  9.74]	,	[-0.4  -0.72  9.74]
1.86	,	[-0.43 -0.79]	,	[-0.43 -0.79  9.48]	,	[-0.43 -0.79  9.48]
1.87	,	[-0.46 -0.86]	,	[-0.46 -0.86  9.23]	,	[-0.46 -0.86  9.23]
1.88	,	[-0.5  -0.94]	,	[-0.5  -0.94  8.99]	,	[-0.5  -0.94  8.99]
1.89	,	[-0.55 -1.02]	,	[-0.55 -1.02  8.75]	,	[-0.55 -1.02  8.75]
1.9	,	[-0.59 -1.12]	,	[-0.59 -1.12  8.53]	,	[-0.59 -1.12  8.53]
1.91	,	[-0.65 -1.22]	,	[-0.65 -1.22  8.31]	,	[-0.65 -1.22  8.31]
1.92	,	[-0.7  -1.34]	,	[-0.7  -1.34  8.09]	,	[-0.7  -1.34  8.09]
1.93	,	[-0.77 -1.46]	,	[-0.77 -1.46  7.89]	,	[-0.77 -1.46  7.89]
1.94	,	[-0.84 -1.6 ]	,	[-0.84 -1.6   7.69]	,	[-0.84 -1.6   7.69]
1.95	,	[-0.91 -1.76]	,	[-0.91 -1.76  7.49]	,	[-0.91 -1.76  7.49]
1.96	,	[-1.   -1.93]	,	[-1.   -1.93  7.31]	,	[-1.   -1.93  7.31]
1.97	,	[-1.09 -2.11]	,	[-1.09 -2.11  7.14]	,	[-1.09 -2.11  7.14]
1.98	,	[-1.19 -2.32]	,	[-1.19 -2.32  6.97]	,	[-1.19 -2.32  6.97]
1.99	,	[-1.31 -2.55]	,	[-1.31 -2.55  6.81]	,	[-1.31 -2.55  6.81]
2.0	,	[-1.43 -2.8 ]	,	[-1.43 -2.8   6.66]	,	[-1.43 -2.8   6.66]
2.01	,	[-1.57 -3.08]	,	[-1.57 -3.08  6.52]	,	[-1.57 -3.08  6.52]
2.02	,	[-1.72 -3.38]	,	[-1.72 -3.38  6.4 ]	,	[-1.72 -3.38  6.4 ]
2.03	,	[-1.88 -3.72]	,	[-1.88 -3.72  6.29]	,	[-1.88 -3.72  6.29]
2.04	,	[-2.07 -4.09]	,	[-2.07 -4.09  6.19]	,	[-2.07 -4.09  6.19]
2.05	,	[-2.27 -4.5 ]	,	[-2.27 -4.5   6.11]	,	[-2.27 -4.5   6.11]
2.06	,	[-2.49 -4.95]	,	[-2.49 -4.95  6.05]	,	[-2.49 -4.95  6.05]
2.07	,	[-2.74 -5.45]	,	[-2.74 -5.45  6.01]	,	[-2.74 -5.45  6.01]
2.08	,	[-3.01 -6.  ]	,	[-3.01 -6.    6.  ]	,	[-3.01 -6.    6.  ]
2.09	,	[-3.31 -6.6 ]	,	[-3.31 -6.6   6.02]	,	[-3.31 -6.6   6.02]
2.1	,	[-3.64 -7.26]	,	[-3.64 -7.26  6.08]	,	[-3.64 -7.26  6.08]
2.11	,	[-4.   -7.99]	,	[-4.   -7.99  6.18]	,	[-4.   -7.99  6.18]
2.12	,	[-4.4  -8.78]	,	[-4.4  -8.78  6.33]	,	[-4.4  -8.78  6.33]
2.13	,	[-4.84 -9.65]	,	[-4.84 -9.65  6.55]	,	[-4.84 -9.65  6.55]
2.14	,	[ -5.32 -10.59]	,	[ -5.32 -10.59   6.84]	,	[ -5.32 -10.59   6.84]
2.15	,	[ -5.85 -11.61]	,	[ -5.85 -11.61   7.22]	,	[ -5.85 -11.61   7.22]
2.16	,	[ -6.42 -12.71]	,	[ -6.42 -12.71   7.71]	,	[ -6.42 -12.71   7.71]
2.17	,	[ -7.05 -13.88]	,	[ -7.05 -13.88   8.32]	,	[ -7.05 -13.88   8.32]
2.18	,	[ -7.73 -15.13]	,	[ -7.73 -15.13   9.08]	,	[ -7.73 -15.13   9.08]
2.19	,	[ -8.47 -16.44]	,	[ -8.47 -16.44  10.01]	,	[ -8.47 -16.44  10.01]
2.2	,	[ -9.27 -17.8 ]	,	[ -9.27 -17.8   11.13]	,	[ -9.27 -17.8   11.13]
2.21	,	[-10.12 -19.19]	,	[-10.12 -19.19  12.49]	,	[-10.12 -19.19  12.49]
2.22	,	[-11.03 -20.57]	,	[-11.03 -20.57  14.1 ]	,	[-11.03 -20.57  14.1 ]
2.23	,	[-11.98 -21.9 ]	,	[-11.98 -21.9   15.99]	,	[-11.98 -21.9   15.99]
2.24	,	[-12.98 -23.12]	,	[-12.98 -23.12  18.19]	,	[-12.98 -23.12  18.19]
2.25	,	[-13.99 -24.16]	,	[-13.99 -24.16  20.7 ]	,	[-13.99 -24.16  20.7 ]
2.26	,	[-15.01 -24.94]	,	[-15.01 -24.94  23.53]	,	[-15.01 -24.94  23.53]
2.27	,	[-16.   -25.36]	,	[-16.   -25.36  26.65]	,	[-16.   -25.36  26.65]
2.28	,	[-16.94 -25.32]	,	[-16.94 -25.32  29.99]	,	[-16.94 -25.32  29.99]
2.29	,	[-17.77 -24.73]	,	[-17.77 -24.73  33.48]	,	[-17.77 -24.73  33.48]
2.3	,	[-18.47 -23.51]	,	[-18.47 -23.51  36.98]	,	[-18.47 -23.51  36.98]
2.31	,	[-18.97 -21.62]	,	[-18.97 -21.62  40.34]	,	[-18.97 -21.62  40.34]
2.32	,	[-19.24 -19.06]	,	[-19.24 -19.06  43.37]	,	[-19.24 -19.06  43.37]
2.33	,	[-19.22 -15.91]	,	[-19.22 -15.91  45.88]	,	[-19.22 -15.91  45.88]
2.34	,	[-18.89 -12.32]	,	[-18.89 -12.32  47.71]	,	[-18.89 -12.32  47.71]
2.35	,	[-18.23  -8.47]	,	[-18.23  -8.47  48.77]	,	[-18.23  -8.47  48.77]
2.36	,	[-17.26  -4.6 ]	,	[-17.26  -4.6   49.01]	,	[-17.26  -4.6   49.01]
2.37	,	[-15.99  -0.93]	,	[-15.99  -0.93  48.5 ]	,	[-15.99  -0.93  48.5 ]
2.38	,	[-14.48   2.36]	,	[-14.48   2.36  47.35]	,	[-14.48   2.36  47.35]
2.39	,	[-12.8    5.14]	,	[-12.8    5.14  45.75]	,	[-12.8    5.14  45.75]
2.4	,	[-11.01   7.36]	,	[-11.01   7.36  43.87]	,	[-11.01   7.36  43.87]
2.41	,	[-9.17  9.03]	,	[-9.17  9.03 41.89]	,	[-9.17  9.03 41.89]
2.42	,	[-7.35 10.22]	,	[-7.35 10.22 39.94]	,	[-7.35 10.22 39.94]
2.43	,	[-5.59 10.99]	,	[-5.59 10.99 38.13]	,	[-5.59 10.99 38.13]
2.44	,	[-3.93 11.45]	,	[-3.93 11.45 36.5 ]	,	[-3.93 11.45 36.5 ]
2.45	,	[-2.4  11.67]	,	[-2.4  11.67 35.07]	,	[-2.4  11.67 35.07]
2.46	,	[-0.99 11.72]	,	[-0.99 11.72 33.86]	,	[-0.99 11.72 33.86]
2.47	,	[ 0.28 11.66]	,	[ 0.28 11.66 32.84]	,	[ 0.28 11.66 32.84]
2.48	,	[ 1.42 11.53]	,	[ 1.42 11.53 32.  ]	,	[ 1.42 11.53 32.  ]
2.49	,	[ 2.43 11.36]	,	[ 2.43 11.36 31.31]	,	[ 2.43 11.36 31.31]
2.5	,	[ 3.32 11.16]	,	[ 3.32 11.16 30.75]	,	[ 3.32 11.16 30.75]
2.51	,	[ 4.11 10.96]	,	[ 4.11 10.96 30.3 ]	,	[ 4.11 10.96 30.3 ]
2.52	,	[ 4.79 10.76]	,	[ 4.79 10.76 29.94]	,	[ 4.79 10.76 29.94]
2.53	,	[ 5.39 10.56]	,	[ 5.39 10.56 29.66]	,	[ 5.39 10.56 29.66]
2.54	,	[ 5.91 10.36]	,	[ 5.91 10.36 29.44]	,	[ 5.91 10.36 29.44]
2.55	,	[ 6.35 10.17]	,	[ 6.35 10.17 29.26]	,	[ 6.35 10.17 29.26]
2.56	,	[6.73 9.99]	,	[ 6.73  9.99 29.13]	,	[ 6.73  9.99 29.13]
2.57	,	[7.06 9.82]	,	[ 7.06  9.82 29.03]	,	[ 7.06  9.82 29.03]
2.58	,	[7.34 9.65]	,	[ 7.34  9.65 28.94]	,	[ 7.34  9.65 28.94]
2.59	,	[7.57 9.48]	,	[ 7.57  9.48 28.88]	,	[ 7.57  9.48 28.88]
